Name,Team,Pos,ADP,GP,G,A,PTS,+/-,PIM,PPG,PPA,PPP,GWG,SOG,FOW,FOL,HIT,BLK,W,L,GA,GAA,SV,SV%,SO
Connor McDavid,EDM,C,1.1,82,42,78,120,22,30,13,39,52,12,286,388,0,78,38,,,,,,,
Leon Draisaitl,EDM,C/LW,2.4,80,46,66,112,19,32,16,25,41,9,255,627,0,56,19,,,,,,,
Nathan MacKinnon,COL,C,3.1,79,41,62,103,19,39,14,27,41,7,349,322,0,60,27,,,,,,,
Nikita Kucherov,TBL,RW,4.5,81,40,68,108,25,52,16,31,47,7,244,0,0,43,28,,,,,,,
Andrei Vasilevskiy,TBL,G,5.2,61,,,,,,,,,,,,,,,43,14,133,2.2,1688,0.927,5
Mikko Rantanen,COL,RW,7,76,43,52,95,18,42,15,22,37,6,246,37,0,42,32,,,,,,,
Auston Matthews,TOR,C,7.8,73,54,35,89,23,14,14,9,23,9,307,459,0,68,65,,,,,,,
David Pastrnak,BOS,RW,7.8,75,44,46,90,17,32,18,16,34,6,278,4,0,54,22,,,,,,,
Artemi Panarin,NYR,LW,9.7,78,33,74,107,27,22,9,21,30,5,216,0,0,23,16,,,,,,,
Brad Marchand,BOS,LW,10.3,77,41,57,98,25,68,6,21,27,8,227,17,0,85,17,,,,,,,
Alex Ovechkin,WSH,LW,11.5,79,47,33,80,-10,36,16,9,25,7,318,0,0,193,40,,,,,,,
Cale Makar,COL,D,13.3,73,14,57,71,15,20,7,25,32,5,169,0,0,77,60,,,,,,,
Patrick Kane,CHI,RW,14,81,36,57,93,4,28,7,23,30,4,292,2,0,20,21,,,,,,,
Mitchell Marner,TOR,RW,14.7,82,29,70,99,19,22,7,20,27,6,235,6,0,33,58,,,,,,,
Jonathan Huberdeau,FLA,LW,17,82,30,61,91,13,38,8,28,36,4,193,19,0,72,23,,,,,,,
Sidney Crosby,PIT,C,17.5,77,34,57,91,10,32,9,24,33,5,226,716,0,63,39,,,,,,,
Robin Lehner,VGK,G,18.4,55,,,,,,,,,,,,,,,35,14,113,2.11,1375,0.924,5
Brayden Point,TBL,C/RW,19.1,80,33,48,81,26,24,11,13,24,6,186,312,0,32,30,,,,,,,
Sebastian Aho,CAR,C,19.6,80,35,48,83,14,36,10,16,26,7,220,403,0,61,32,,,,,,,
Darcy Kuemper,COL,G,21.9,54,,,,,,,,,,,,,,,32,15,105,2,1282,0.924,6
Connor Hellebuyck,WPG,G,22.7,65,,,,,,,,,,,,,,,38,22,153,2.37,1781,0.921,5
Mika Zibanejad,NYR,C,23.3,75,35,37,72,5,26,14,12,26,6,238,530,0,98,61,,,,,,,
Brady Tkachuk,OTT,LW,24.2,80,25,28,53,-15,89,6,8,14,4,304,122,0,338,35,,,,,,,
Aleksander Barkov,FLA,C,24.5,77,38,50,88,10,16,11,17,28,5,263,669,0,42,55,,,,,,,
John Carlson,WSH,D,25.3,74,14,52,66,0,17,3,22,25,3,185,0,0,68,107,,,,,,,
Adam Fox,NYR,D,25.3,81,8,56,64,21,36,3,25,28,3,150,0,0,36,143,,,,,,,
Andrei Svechnikov,CAR,LW/RW,27.9,79,29,44,73,5,58,6,17,23,5,211,2,0,154,28,,,,,,,
Victor Hedman,TBL,D,29.8,75,13,45,58,26,46,3,28,31,4,188,0,0,73,104,,,,,,,
Kirill Kaprizov,MIN,LW/RW,30.1,80,38,36,74,12,24,12,8,20,5,231,4,0,42,26,,,,,,,
Jake Guentzel,PIT,LW/RW,30.4,82,35,47,82,10,28,7,15,22,6,216,8,0,117,46,,,,,,,
Steven Stamkos,TBL,C/RW,31.9,68,33,41,74,8,25,16,14,30,5,178,340,0,70,25,,,,,,,
Alex DeBrincat,CHI,LW/RW,34.2,80,43,36,79,4,15,13,12,25,6,237,16,0,94,31,,,,,,,
Gabriel Landeskog,COL,C/LW,34.8,78,30,44,74,17,41,12,11,23,8,226,312,0,120,45,,,,,,,
Patrice Bergeron,BOS,C,35.9,66,31,32,63,25,26,10,10,20,4,221,652,0,57,46,,,,,,,
Max Pacioretty,VGK,LW,36.2,72,34,37,71,19,32,8,10,18,7,262,27,0,64,40,,,,,,,
Matthew Tkachuk,CGY,LW/RW,36.4,80,27,42,69,4,66,6,15,21,3,216,3,0,173,15,,,,,,,
Igor Shesterkin,NYR,G,38.7,53,,,,,,,,,,,,,,,29,17,132,2.55,1539,0.921,3
Marc-Andre Fleury,CHI,G,40.6,53,,,,,,,,,,,,,,,28,19,133,2.58,1480,0.918,5
Mark Scheifele,WPG,C,41.2,79,31,58,89,-1,40,11,12,23,6,181,442,0,43,54,,,,,,,
John Tavares,TOR,C,41.4,82,33,45,78,13,28,10,11,21,6,247,564,0,68,42,,,,,,,
Dougie Hamilton,NJD,D,41.6,81,17,46,63,22,54,2,19,21,3,270,0,0,87,97,,,,,,,
Mark Stone,VGK,RW,42.4,75,27,52,79,21,29,7,14,21,6,173,15,0,48,49,,,,,,,
Quinn Hughes,VAN,D,44,77,9,53,62,-16,26,3,26,29,2,145,0,0,22,57,,,,,,,
Frederik Andersen,CAR,G,44.2,53,,,,,,,,,,,,,,,30,16,130,2.53,1392,0.915,3
Semyon Varlamov,NYI,G,45,47,,,,,,,,,,,,,,,27,15,107,2.34,1250,0.921,5
Elias Pettersson,VAN,C,46.9,72,31,43,74,8,20,11,15,26,6,186,124,0,43,35,,,,,,,
Alex Pietrangelo,VGK,D,48.7,71,14,33,47,19,20,3,13,16,3,216,0,0,50,128,,,,,,,
Aaron Ekblad,FLA,D,48.9,73,17,33,50,13,43,8,8,16,3,193,0,0,53,68,,,,,,,
Kyle Connor,WPG,LW,49.5,77,37,34,71,-4,20,12,8,20,6,236,5,0,23,24,,,,,,,
Johnny Gaudreau,CGY,LW/RW,50.9,81,28,46,74,3,20,8,17,25,5,194,0,0,10,13,,,,,,,
J.T. Miller,VAN,C/LW,52.1,76,22,44,66,3,45,6,17,23,5,153,308,0,129,34,,,,,,,
Morgan Rielly,TOR,D,57.1,76,8,43,51,9,18,2,18,20,2,156,0,0,81,91,,,,,,,
Ilya Sorokin,NYI,G,57.6,37,,,,,,,,,,,,,,,19,11,82,2.3,985,0.923,3
Juuse Saros,NSH,G,59.6,54,,,,,,,,,,,,,,,31,17,121,2.3,1398,0.92,5
Nikolaj Ehlers,WPG,LW/RW,59.7,73,30,36,66,13,24,8,9,17,5,222,1,0,39,21,,,,,,,
Charlie McAvoy,BOS,D,59.8,74,7,36,43,23,42,2,9,11,2,128,0,0,106,123,,,,,,,
Brock Boeser,VAN,RW,60.1,68,27,31,58,2,18,9,10,19,3,180,10,0,36,23,,,,,,,
Roman Josi,NSH,D,60.3,76,15,42,57,16,40,4,18,22,3,244,0,0,46,129,,,,,,,
Carey Price,MON,G,61.7,54,,,,,,,,,,,,,,,30,17,122,2.32,1303,0.914,3
Mathew Barzal,NYI,C,62.1,82,25,46,71,12,50,3,14,17,2,200,186,0,32,29,,,,,,,
Tyson Barrie,EDM,D,63.4,78,10,46,56,4,18,5,22,27,2,203,0,0,40,85,,,,,,,
Roope Hintz,DAL,C/LW,65.6,73,26,41,67,11,20,9,19,28,5,169,266,0,94,30,,,,,,,
Ryan O'Reilly,STL,C,66.5,82,28,47,75,23,16,7,16,23,5,204,801,0,32,40,,,,,,,
Jack Campbell,TOR,G,66.8,50,,,,,,,,,,,,,,,32,11,108,2.27,1225,0.919,4
Cam Talbot,MIN,G,67.7,51,,,,,,,,,,,,,,,30,16,106,2.13,1187,0.918,3
Evgeny Kuznetsov,WSH,C,68.2,77,21,47,68,7,32,7,18,25,4,161,309,0,41,30,,,,,,,
Philipp Grubauer,SEA,G,68.8,51,,,,,,,,,,,,,,,29,16,117,2.31,1312,0.918,4
Darnell Nurse,EDM,D,69.4,82,13,33,46,21,73,2,9,11,2,223,0,0,176,150,,,,,,,
Seth Jones,CHI,D,73.2,78,10,36,46,6,28,4,12,16,3,193,0,0,132,145,,,,,,,
Ilya Samsonov,WSH,G,74.3,50,,,,,,,,,,,,,,,32,12,114,2.34,1267,0.917,3
Ondrej Palat,TBL,LW,75.1,73,19,34,53,19,24,8,14,22,5,144,2,0,119,57,,,,,,,
Shea Theodore,VGK,D,75.7,77,12,44,56,21,21,2,18,20,2,229,0,0,29,67,,,,,,,
Ryan Nugent-Hopkins,EDM,C/LW,76.7,72,24,38,62,-2,26,10,18,28,4,189,126,0,38,42,,,,,,,
Kris Letang,PIT,D,78.4,71,12,39,51,15,50,3,15,18,3,182,0,0,120,91,,,,,,,
Tyler Seguin,DAL,C/RW,80.6,77,28,36,64,11,24,7,15,22,7,284,592,0,106,39,,,,,,,
Miro Heiskanen,DAL,D,81,81,13,30,43,8,16,4,12,16,2,186,0,0,61,80,,,,,,,
Nicklas Backstrom,WSH,C,81.3,80,21,51,72,0,32,7,19,26,3,162,442,0,39,42,,,,,,,
Jack Eichel,BUF,C,81.4,52,20,38,58,4,18,6,18,24,4,166,385,0,43,34,,,,,,,
Petr Mrazek,TOR,G,83.5,34,,,,,,,,,,,,,,,18,11,77,2.42,814,0.914,2
Elias Lindholm,CGY,C/RW,83.6,81,28,41,69,7,22,9,14,23,6,190,501,0,83,48,,,,,,,
Sam Reinhart,FLA,C/RW,83.9,82,29,37,66,7,18,12,10,22,5,192,107,0,28,41,,,,,,,
Spencer Knight,FLA,G,85,38,,,,,,,,,,,,,,,21,13,98,2.67,1051,0.915,2
Jordan Binnington,STL,G,86.5,59,,,,,,,,,,,,,,,30,20,131,2.31,1410,0.915,3
Jonathan Marchessault,VGK,C/LW,88.9,78,25,35,60,16,40,5,10,15,6,259,50,0,99,23,,,,,,,
Jakob Chychrun,ARI,D,90.5,71,19,27,46,2,38,5,12,17,4,211,0,0,78,112,,,,,,,
T.J. Oshie,WSH,C/RW,91.5,74,27,29,56,3,30,12,6,18,4,147,128,0,102,45,,,,,,,
Jason Robertson,DAL,LW,91.6,79,26,43,69,12,26,3,9,12,5,206,7,0,43,20,,,,,,,
Nick Suzuki,MON,C/RW,92.2,82,23,40,63,-3,32,8,13,21,2,171,483,0,97,52,,,,,,,
Alexander Radulov,DAL,LW/RW,92.3,68,20,31,51,8,48,7,11,18,4,164,6,0,45,47,,,,,,,
Linus Ullmark,BOS,G,92.4,54,,,,,,,,,,,,,,,30,15,112,2.22,1291,0.92,3
Torey Krug,STL,D,95.1,73,7,46,53,9,33,2,23,25,2,164,0,0,67,77,,,,,,,
Anze Kopitar,LAK,C,95.6,81,23,52,75,5,22,7,20,27,5,169,739,0,64,58,,,,,,,
Blake Wheeler,WPG,C/RW,96.6,75,22,47,69,-3,52,5,20,25,3,177,72,0,94,47,,,,,,,
Evgeni Malkin,PIT,C,96.7,66,24,52,76,5,48,8,16,24,2,162,299,0,40,25,,,,,,,
Taylor Hall,BOS,LW,97.1,75,26,39,65,14,30,6,14,20,3,231,12,0,49,25,,,,,,,
Martin Necas,CAR,C/RW,101,74,21,39,60,20,18,7,11,18,4,153,32,0,64,40,,,,,,,
David Perron,STL,LW/RW,101.2,73,25,49,74,6,48,9,17,26,5,178,3,0,61,28,,,,,,,
Kevin Lankinen,CHI,G,102.2,31,,,,,,,,,,,,,,,16,11,80,2.69,852,0.914,3
William Nylander,TOR,LW/RW,102.3,73,26,34,60,8,16,7,12,19,5,194,51,0,16,19,,,,,,,
Drew Doughty,LAK,D,102.5,82,12,37,49,-15,38,7,17,24,2,153,0,0,137,119,,,,,,,
Thatcher Demko,VAN,G,102.9,51,,,,,,,,,,,,,,,25,20,136,2.74,1533,0.919,4
Joe Pavelski,DAL,C/RW,103.6,78,30,33,63,15,23,14,10,24,5,184,373,0,85,56,,,,,,,
MacKenzie Blackwood,NJD,G,103.8,50,,,,,,,,,,,,,,,26,17,124,2.54,1392,0.918,3
Cole Caufield,MON,RW,104.7,80,27,30,57,-5,16,7,5,12,6,235,4,0,21,24,,,,,,,
Neal Pionk,WPG,D,105.7,77,6,44,50,8,34,3,18,21,1,152,0,0,188,101,,,,,,,
John Klingberg,DAL,D,106.4,77,11,42,53,-11,24,3,20,23,2,168,0,0,64,81,,,,,,,
Jeff Petry,MON,D,106.8,82,13,32,45,4,28,4,15,19,3,187,0,0,160,93,,,,,,,
Brayden Schenn,STL,D,108.9,78,23,31,54,2,42,8,6,14,4,158,323,0,155,43,,,,,,,
Sam Bennett,FLA,C/LW,109.2,71,17,34,51,-1,56,2,2,4,3,146,117,0,152,26,,,,,,,
Bryan Rust,PIT,LW/RW,110.6,70,28,30,58,12,26,8,7,15,5,189,3,0,84,41,,,,,,,
Andre Burakovsky,COL,LW/RW,111.2,75,24,31,55,6,14,4,13,17,3,137,4,0,32,26,,,,,,,
MacKenzie Weegar,FLA,D,111.4,71,9,27,36,25,44,1,4,5,1,133,0,0,151,111,,,,,,,
Zach Werenski,CBJ,D,113.4,78,17,30,47,-5,18,3,10,13,3,189,0,0,49,85,,,,,,,
Tristan Jarry,PIT,G,113.9,56,,,,,,,,,,,,,,,34,16,128,2.38,1452,0.919,3
Vladimir Tarasenko,STL,RW,117.6,67,21,30,51,-4,18,8,10,18,4,195,0,0,86,41,,,,,,,
Ryan Ellis,PHI,D,118.8,72,10,32,42,18,18,3,6,9,2,154,0,0,52,133,,,,,,,
Sergei Bobrovsky,FLA,G,118.9,46,,,,,,,,,,,,,,,26,15,126,2.82,1271,0.91,2
Ivan Provorov,PHI,D,120.1,82,15,31,46,10,28,5,14,19,3,182,0,0,89,151,,,,,,,
Mikhail Sergachev,TBL,D,120.6,77,8,35,43,13,36,3,11,14,2,144,0,0,96,102,,,,,,,
Thomas Chabot,OTT,D,121.2,76,10,40,50,-16,38,1,13,14,1,189,0,0,97,108,,,,,,,
Devon Toews,COL,D,125,78,12,30,42,27,16,3,6,9,3,137,0,0,62,114,,,,,,,
Filip Forsberg,NSH,LW,126.7,66,24,29,53,-8,22,7,8,15,3,216,2,0,83,25,,,,,,,
Jared Spurgeon,MIN,D,128,76,12,26,38,-1,18,4,10,14,2,134,0,0,74,140,,,,,,,
Mike Smith,EDM,G,128.6,50,,,,,,,,,,,,,,,31,12,119,2.5,1352,0.919,4
Samuel Girard,COL,D,129.7,73,8,42,50,12,20,1,14,15,1,128,0,0,49,83,,,,,,,
Brent Burns,SJS,D,129.7,82,13,37,50,-15,36,5,13,18,2,243,0,0,58,136,,,,,,,
Zach Hyman,EDM,LW/RW,130.2,74,26,32,58,15,38,5,5,10,4,186,46,0,110,36,,,,,,,
Tomas Hertl,SJS,C/LW,130.8,76,30,35,65,-2,31,6,8,14,4,175,534,0,55,55,,,,,,,
Patrik Laine,CBJ,LW/RW,131.1,75,30,32,62,-12,38,12,12,24,3,229,8,0,69,29,,,,,,,
Tom Wilson,WSH,RW,131.8,74,22,26,48,4,108,5,4,9,4,142,15,0,195,46,,,,,,,
Jamie Benn,DAL,C/LW,132.3,75,20,31,51,12,55,8,8,16,4,179,258,0,123,46,,,,,,,
Oliver Ekman-Larsson,VAN,D,132.8,79,10,34,44,-7,46,4,16,20,2,153,0,0,135,52,,,,,,,
Ty Smith,NJD,D,133.3,78,4,35,39,-5,36,2,12,14,1,113,0,0,52,57,,,,,,,
Evander Kane,SJS,LW/RW,135.5,77,29,35,64,-4,116,7,6,13,4,255,45,0,142,30,,,,,,,
Carter Hart,PHI,G,135.8,53,,,,,,,,,,,,,,,28,18,126,2.4,1403,0.918,3
Teuvo Teravainen,CAR,LW/RW,138,73,18,44,62,19,10,4,14,18,3,176,29,0,27,30,,,,,,,
Jacob Markstrom,CGY,G,138,58,,,,,,,,,,,,,,,30,23,140,2.48,1433,0.911,3
Matt Dumba,MIN,D,138.4,76,9,22,31,-2,48,2,8,10,2,147,0,0,111,108,,,,,,,
Kevin Fiala,MIN,LW/RW,138.7,79,29,36,65,-1,46,9,11,20,5,235,4,0,40,21,,,,,,,
Vitek Vanecek,WSH,G,139.1,34,,,,,,,,,,,,,,,19,11,84,2.56,849,0.91,2
Ryan Strome,NYR,C/RW,139.5,80,20,43,63,11,44,4,16,20,2,176,369,0,40,30,,,,,,,
Jeremy Swayman,BOS,G,140.4,32,,,,,,,,,,,,,,,17,11,75,2.57,761,0.91,2
Alex Nedeljkovic,DET,G,140.5,47,,,,,,,,,,,,,,,23,18,116,2.59,1277,0.917,3
Mark Giordano,SEA,D,141.7,79,13,24,37,4,44,3,8,11,2,205,0,0,68,160,,,,,,,
Alec Martinez,VGK,D,142.7,75,10,30,40,22,22,3,8,11,2,117,0,0,65,224,,,,,,,
Vince Dunn,SEA,D,142.8,75,12,23,35,8,26,3,8,11,1,149,0,0,58,77,,,,,,,
Sean Couturier,PHI,C,144,71,24,36,60,1,32,5,9,14,5,191,508,0,53,36,,,,,,,
Tony DeAngelo,CAR,D,144.2,64,9,31,40,8,55,2,14,16,2,133,0,0,43,62,,,,,,,
Jack Hughes,NJD,C/LW,144.7,82,18,33,51,-4,22,4,11,15,3,235,305,0,22,24,,,,,,,
Dominik Kubalik,CHI,LW/RW,147,82,27,29,56,-1,26,6,13,19,3,223,1,0,86,24,,,,,,,
Robby Fabbri,DET,C/LW,148.7,66,17,29,46,2,24,3,5,8,6,124,92,0,75,31,,,,,,,
Bo Horvat,VAN,C,149.8,76,26,30,56,-9,27,11,6,17,3,194,706,0,80,56,,,,,,,
Mattias Ekholm,NSH,D,150.5,73,10,27,37,16,22,2,6,8,2,181,0,0,41,80,,,,,,,
Rasmus Dahlin,BUF,D,151.3,82,7,32,39,-20,32,3,17,20,3,164,0,0,114,67,,,,,,,
Vincent Trocheck,CAR,C,154.2,71,22,36,58,-7,44,8,13,21,2,182,468,0,150,43,,,,,,,
Kaapo Kahkonen,MIN,G,155,33,,,,,,,,,,,,,,,18,11,78,2.44,769,0.908,2
Erik Karlsson,SJS,D,156.1,74,10,26,36,-16,26,4,11,15,2,163,0,0,32,99,,,,,,,
Jakub Voracek,CBJ,LW/RW,156.3,75,13,46,59,-8,22,3,12,15,3,147,7,0,23,28,,,,,,,
Alexandar Georgiev,NYR,G,156.5,29,,,,,,,,,,,,,,,14,11,82,2.93,815,0.909,3
Claude Giroux,PHI,C/LW,156.9,77,21,40,61,5,24,3,17,20,4,185,540,0,45,12,,,,,,,
Matt Grzelcyk,BOS,D,157,69,8,26,34,13,34,2,10,12,1,141,0,0,42,64,,,,,,,
Jake Oettinger,DAL,G,157.7,49,,,,,,,,,,,,,,,26,17,108,2.27,1215,0.918,3
Anders Lee,NYI,LW,157.8,80,30,23,53,10,50,8,6,14,6,228,113,0,113,45,,,,,,,
Rasmus Ristolainen,PHI,D,158,77,6,25,31,-24,41,1,11,12,0,126,0,0,279,104,,,,,,,
Zach Whitecloud,VGK,D,158,77,3,17,20,14,36,0,0,0,1,79,0,0,123,111,,,,,,,
Tyler Toffoli,MON,LW/RW,158.1,76,31,23,54,2,26,9,5,14,6,228,18,0,92,18,,,,,,,
Radko Gudas,FLA,D,158.3,75,3,14,17,10,42,0,0,0,1,117,0,0,311,100,,,,,,,
Adam Pelech,NYI,D,158.9,78,5,15,20,19,20,0,0,0,0,113,0,0,106,111,,,,,,,
Jonathan Bernier,NJD,G,159,34,,,,,,,,,,,,,,,17,11,89,2.7,924,0.912,1
Anthony Mantha,WSH,LW/RW,159.2,77,23,23,46,2,32,6,4,10,3,201,20,0,72,37,,,,,,,
Mason Appleton,SEA,C/RW,159.2,75,14,16,30,9,18,0,0,0,1,111,6,0,74,28,,,,,,,
Braden Holtby,DAL,G,159.7,4,,,,,,,,,,,,,,,2,1,12,2.95,99,0.892,0
Jake Muzzin,TOR,D,159.9,78,6,32,38,19,36,1,3,4,1,137,0,0,152,140,,,,,,,
Brandon Tanev,SEA,LW/RW,160,71,13,18,31,8,33,0,0,0,1,112,4,0,285,71,,,,,,,
James van Riemsdyk,PHI,LW,160.1,72,22,29,51,3,16,11,5,16,3,171,9,0,46,21,,,,,,,
Brian Dumoulin,PIT,D,160.1,70,5,18,23,20,16,0,1,1,0,87,0,0,110,96,,,,,,,
Ryan Pulock,NYI,D,160.2,75,10,26,36,12,18,3,6,9,3,166,0,0,129,144,,,,,,,
Joel Edmundson,MON,D,160.2,69,4,13,17,21,36,0,0,0,0,98,0,0,124,96,,,,,,,
Jamie Oleksiak,SEA,D,160.2,75,7,11,18,-3,37,0,0,0,2,105,0,0,192,105,,,,,,,
Chris Krieder,NYR,LW,160.3,75,26,23,49,8,44,9,5,14,4,162,37,0,163,51,,,,,,,
Tyler Bertuzzi,DET,LW/RW,160.5,73,23,29,52,4,38,7,9,16,4,139,7,0,84,31,,,,,,,
Craig Smith,BOS,RW,160.6,75,18,20,38,19,22,5,3,8,3,183,13,0,85,15,,,,,,,
Nazem Kadri,COL,C,160.6,74,16,28,44,-4,52,4,9,13,3,198,396,0,57,22,,,,,,,
Kasperi Kapanen,PIT,LW/RW,160.6,70,18,31,49,13,14,2,4,6,3,122,1,0,73,16,,,,,,,
Nico Hischier,NJD,C,160.7,73,22,31,53,-10,26,5,8,13,3,193,521,0,48,58,,,,,,,
Yanni Gourde,SEA,C/RW,160.7,61,18,27,45,6,37,4,4,8,4,121,198,0,59,22,,,,,,,
Alex Wennberg,SEA,C/LW,160.7,77,20,24,44,5,14,3,5,8,3,135,374,0,38,47,,,,,,,
Joonas Donskoi,SEA,LW/RW,160.8,75,23,23,46,13,18,6,4,10,3,131,12,0,23,38,,,,,,,
Anton Khudobin,DAL,G,161.2,31,,,,,,,,,,,,,,,17,11,71,2.38,758,0.914,2
Nils Hoglander,VAN,LW/RW,161.3,82,22,24,46,-2,24,3,3,6,3,177,1,0,38,28,,,,,,,
Ryan Suter,DAL,D,161.5,79,6,30,36,8,36,1,7,8,2,118,0,0,58,96,,,,,,,
Jack Roslovic,CBJ,C/RW,161.6,75,17,29,46,-8,18,5,7,12,2,123,193,0,52,30,,,,,,,
Jordan Eberle,SEA,RW,161.8,79,23,27,50,7,18,4,7,11,3,186,4,0,44,32,,,,,,,
Mikko Koskinen,EDM,G,161.8,37,,,,,,,,,,,,,,,17,12,93,2.75,951,0.911,2
Jared McCann,SEA,C/LW,162.2,71,22,28,50,12,14,6,5,11,4,154,132,0,73,31,,,,,,,
Keith Yandle,PHI,D,162.3,82,8,39,47,-11,37,3,23,26,2,178,0,0,28,48,,,,,,,
Brian Elliott,TBL,G,162.3,21,,,,,,,,,,,,,,,12,7,33,1.58,329,0.909,2
Justin Schultz,WSH,D,162.7,63,4,29,33,10,14,1,11,12,1,97,0,0,42,69,,,,,,,